"name", "segment", "country", "website", "description"
"SpeQtral", "Communications", "Singapore", "https://speqtral.space/", "SpeQtral (formerly known as S15 Space Systems) is a spin-off from the Centre for Quantum Technologies (CQT) at the National University of Singapore (NUS). The company is developing space-based quantum communication systems using small satellites which will deliver encryption keys via quantum signals. This technology will offer unprecedented security from eavesdropping and enable the next generation of secure communication networks. The company has licensed technology needed to develop compact quantum light sources from NUS and has also hired former CQT researchers to its team."
"Spin Quantum Tech", "Software", "Columbia", "https://www.spinqtech.com/", "Founded in January 2018 and based in Bogotá, Columbia, Spin Quantum Tech is a quantum software company developing an adaptive collection of quantum algorithms that solves the next wave of cybersecurity trends. Their approach is based on AI and quantum computing to allow learning from the environment and self-improvement. They have a multidisciplinary team that has been working on AI for 15 years and their target markets include cybersecurity companies, solution and cloud providers."
"Strangeworks", "Software", "US", "http://strangeworks.com/", "Strangeworks is a quantum computing software startup in Austin, Texas formed in 2018. Their goal is to make quantum computing accessible via software designed for developers, system managers, and CIOs. Strangeworks also maintains their Strangeworks Community Platform web site which provides a front end to five different quantum frameworks from IBM, Microsoft, Rigetti, Google and D-Wave."
"Super.tech", "Software", "US", "http://www.super.tech/", "None"
"Terra Quantum AG", "Multiple", "Switzerland", "https://terraquantum.ch/", "Terra Quantum AG is a quantum technology company that is developing deep tech applications based on quantum computing, hardware, software and algorithms. The company was founded in 2019 and is based in Rorschach, Switzerland."
"Tokyo Quantum Computing", "Software", "Japan", "https://www.to-qc.com/", "Tokyo Quantum Computing (TQC) is a software startup for quantum computing, formed in April 2017 and based in Tokyo, Japan. TQC was founded by Dr. Chiaki Yamaguchi. TQC has a plan to provide a set of computer program source codes for massive simulations of quantum annealing."
"TundraSystems Global LTD", "Hardware", "UK", "http://briancinderella.com/", "TundraSystems was formed in 2014 and is located in Cardiff, UK. They are developing a line of systems based upon Quantum Optical Computing. An early target will be to create a Quantum Microprocessor which will be used as part of an quantum HPC system solution. Their system will be based upon a room temperature silicon photonics technology that they call Opticonductors."
"Turing", "Software", "US", "https://turingquantum.com/", "Founded in 2016, Turing is a quantum software company still in stealth mode."
"Universal Quantum", "Hardware", "UK", "https://universalquantum.com/", "Founded in early 2019 and located in Brighton, UK, Universal Quantum is a spinoff from the Ion Quantum Technology Group at the University of Sussex and headed by Professor Winfried Hensinger. Their goal is to develop practical quantum computers using microwave trapped ion technology that uses long-wavelength radiation and locally applied magnetic fields to replace the vast amounts of individually controlled laser beams used in other ion trap implementations."
"VeriQloud", "Communications", "France", "https://veriqloud.com/", "VeriQloud’s development is centered on quantum network technologies, covering all aspects from protocols and applications to implementations using optical devices. Their goal is to build a commercial offer for clients that have high demands in terms of network security, with quantum network architecture and protocols specifically designed for them. VeriQloud believes that an appropriate use of quantum programming languages can push quantum networks much further than the sole task of establishing shared secret keys through quantum key distribution, even using only currently existing technologies. For this purpose, they are implementing quantum network protocols for various quantum communication technologies including the application of known protocols to industrial problems and development of new network protocols that take advantage of the high security of quantum communication. The company was founded in 2017 and is located in Montrouge, France."
"Xanadu", "Multiple", "Canada", "http://www.xanadu.ai/", "Xanadu is a full-stack quantum startup founded in December 2016 and located in Toronto, Canada. They are developing a quantum photonic processor and an open-source full-stack quantum software platform called Strawberry Fields for photonic quantum computing. Strawberry Fields is implemented in Python and includes a quantum programming language called Blackbird. Xanadu has also started publishing results using their software in such diverse fields such as quantum chemistry, graph theory, machine learning and others."
"Xofia", "Software", "US", "http://xofia.io/", "Based in Houston, Texas and founded in early 2019, Xofia is a quantum computing company that provides algorithms to speed up feature classification in artificial intelligence to reduce training and inference time. Xofia offers “Quantum Knowledge” to improve current artificial intelligence techniques and increase the amount and quality of data inputs for better outcomes."
"Zapata Computing", "Software", "US", "http://zapatacomputing.com/", "Founded in 2017 and located in Boston, Massachusetts, Zapata Computing is a quantum computing software company spun out of Harvard University and launched by a group of Harvard scientists, including Alán Aspuru-Guzik. With Fortune 100 and Global 1000 companies, they develop solutions for a wide range of industries including chemistry, logistics, finance, oil and gas, aviation, pharmaceuticals and materials. Zapata’s platform, Orquestra™, allows users to compose quantum-enabled workflows and orchestrate their execution across classical and quantum technologies. Orquestra combines a powerful software platform, quantum algorithm libraries, and example workflows across machine learning, simulation and optimization."
"ZY4", "Communications", "Canada", "https://zy4.com/", "Founded in 2014 and headquartered in Vancouver, Canada, ZY4 claims to have developed a new class of quantum invulnerable symmetric encryption. It is a fast, reliable form of end-to-end encryption with authentication that works over any distance on any data network. ZY4 encryption keys are designed to operate in a unique space of computational complexity with irreversible computational problems which are non-physical, combining information theoretic security and factorial space problems requiring either or both infinite memory or time for quantum computers (or conventional computers) to solve."
